# t, u(t), y(t)
# ================
2.510000000000000000e+02 -2.500000000000000000e+00 -8.231077317686812389e-01
2.520000000000000000e+02 -2.500000000000000000e+00 -1.437672263323008792e+00
2.530000000000000000e+02 -2.500000000000000000e+00 -1.941353075459367750e+00
2.540000000000000000e+02 -2.500000000000000000e+00 -1.363464500030989512e+00
2.550000000000000000e+02 2.500000000000000000e+00 -1.292755305261672483e+00
2.560000000000000000e+02 2.500000000000000000e+00 7.229185291508583022e-01
2.570000000000000000e+02 2.500000000000000000e+00 1.468581673672303856e+00
2.580000000000000000e+02 2.500000000000000000e+00 7.010549666995166129e-01
2.590000000000000000e+02 2.500000000000000000e+00 1.238176200027723439e+00
2.600000000000000000e+02 2.500000000000000000e+00 1.802735480204517460e+00
2.610000000000000000e+02 -2.500000000000000000e+00 1.498809064525474355e+00
2.620000000000000000e+02 -2.500000000000000000e+00 -2.086646050470906122e+00
2.630000000000000000e+02 -2.500000000000000000e+00 -6.616315696928644075e-01
2.640000000000000000e+02 -2.500000000000000000e+00 -1.249223060656351914e+00
2.650000000000000000e+02 -2.500000000000000000e+00 -1.618354904989634857e+00
2.660000000000000000e+02 -2.500000000000000000e+00 -1.471757264339946580e+00
2.670000000000000000e+02 -2.500000000000000000e+00 -1.117942660575290903e+00
2.680000000000000000e+02 -2.500000000000000000e+00 -1.598038578553067968e+00
2.690000000000000000e+02 2.500000000000000000e+00 -1.472806363476332869e+00
2.700000000000000000e+02 2.500000000000000000e+00 1.260001226575128364e+00
2.710000000000000000e+02 2.500000000000000000e+00 2.360222336922912945e+00
2.720000000000000000e+02 2.500000000000000000e+00 2.237725697874987763e+00
2.730000000000000000e+02 2.500000000000000000e+00 1.454557514151401110e+00
2.740000000000000000e+02 -2.500000000000000000e+00 9.627137722610946691e-01
2.750000000000000000e+02 -2.500000000000000000e+00 -2.039119226013718755e+00
2.760000000000000000e+02 -2.500000000000000000e+00 -1.566365476276399438e+00
2.770000000000000000e+02 -2.500000000000000000e+00 -4.267105035972191818e-01
2.780000000000000000e+02 -2.500000000000000000e+00 -6.966025655162749741e-01
2.790000000000000000e+02 -2.500000000000000000e+00 -1.625964340332762159e+00
2.800000000000000000e+02 -2.500000000000000000e+00 -1.007279255486906999e+00
2.810000000000000000e+02 -2.500000000000000000e+00 -1.176103431309936331e+00
2.820000000000000000e+02 2.500000000000000000e+00 -1.294605818787407214e+00
2.830000000000000000e+02 2.500000000000000000e+00 2.066910557177717767e+00
2.840000000000000000e+02 2.500000000000000000e+00 1.762186089607006956e+00
2.850000000000000000e+02 2.500000000000000000e+00 5.494800064917887417e-01
2.860000000000000000e+02 2.500000000000000000e+00 1.584450335923550446e+00
2.870000000000000000e+02 2.500000000000000000e+00 2.106834710525794296e+00
2.880000000000000000e+02 2.500000000000000000e+00 1.724883781019113993e+00
2.890000000000000000e+02 2.500000000000000000e+00 1.056124104054691815e+00
2.900000000000000000e+02 -2.500000000000000000e+00 2.130182683311255154e+00
2.910000000000000000e+02 -2.500000000000000000e+00 -1.020635814308450184e+00
2.920000000000000000e+02 -2.500000000000000000e+00 -1.102201355514546233e+00
2.930000000000000000e+02 -2.500000000000000000e+00 -1.575785140856807764e+00
2.940000000000000000e+02 -2.500000000000000000e+00 -1.336878809019113934e+00
2.950000000000000000e+02 -2.500000000000000000e+00 -1.304116491859722116e+00
2.960000000000000000e+02 -2.500000000000000000e+00 -1.131080060567235979e+00
2.970000000000000000e+02 2.500000000000000000e+00 -1.813667262396572166e+00
2.980000000000000000e+02 2.500000000000000000e+00 8.102898064358536878e-01
2.990000000000000000e+02 2.500000000000000000e+00 1.078375493102288196e+00
3.000000000000000000e+02 2.500000000000000000e+00 1.427310062119398593e+00
3.010000000000000000e+02 2.500000000000000000e+00 1.485595972500502349e+00
3.020000000000000000e+02 2.500000000000000000e+00 8.344064110712883231e-01
3.030000000000000000e+02 2.500000000000000000e+00 1.087082670857107081e+00
3.040000000000000000e+02 -2.500000000000000000e+00 1.134092128346408268e+00
3.050000000000000000e+02 -2.500000000000000000e+00 -1.942435897915686160e+00
3.060000000000000000e+02 -2.500000000000000000e+00 -6.341449779386463259e-01
3.070000000000000000e+02 2.500000000000000000e+00 -2.047998073282215614e+00
3.080000000000000000e+02 2.500000000000000000e+00 2.087186405278341539e+00
3.090000000000000000e+02 2.500000000000000000e+00 2.942878162680120369e+00
3.100000000000000000e+02 2.500000000000000000e+00 1.590816504767699646e+00
3.110000000000000000e+02 2.500000000000000000e+00 1.271162371907379240e+00
3.120000000000000000e+02 2.500000000000000000e+00 7.105341226569360513e-01
3.130000000000000000e+02 2.500000000000000000e+00 7.850295900190975562e-01
3.140000000000000000e+02 2.500000000000000000e+00 2.009058548538473765e+00
3.150000000000000000e+02 -2.500000000000000000e+00 6.622109540508379633e-01
3.160000000000000000e+02 -2.500000000000000000e+00 -1.565885512543760738e+00
3.170000000000000000e+02 -2.500000000000000000e+00 -1.333179156706276069e+00
3.180000000000000000e+02 -2.500000000000000000e+00 -1.221154916038005300e+00
3.190000000000000000e+02 2.500000000000000000e+00 -9.956654566110367810e-01
3.200000000000000000e+02 2.500000000000000000e+00 1.055070599456615188e+00
3.210000000000000000e+02 2.500000000000000000e+00 1.831230220256539143e+00
3.220000000000000000e+02 2.500000000000000000e+00 1.357413320591394967e+00
